,baseline,smote_1,smote_2,smote_3
amount,0.02803403,0.06543503,0.1605859,0.19297476
amountToBalanceOrig,0.3228305,0.3236193,0.77479976,2.03746
errorBalanceDest,0.006461377,0.019591672,0.15428561,0.110839926
errorBalanceOrig,0.46339417,0.79514146,1.8008763,1.6687806
newbalanceDest,0.0048929453,0.02309908,0.033190306,0.096365415
newbalanceOrig,0.13964087,0.2697992,0.8911437,1.0072227
oldbalanceDest,0.018463956,0.06575997,0.09409183,0.13100618
oldbalanceOrg,0.017140614,0.2920433,0.42554387,0.56705964
transaction_day,0.007926927,0.07539043,0.061778147,0.20176405
transaction_hour,0.004048694,0.03074454,0.067455895,0.06321219
type_CASH_IN,0.021823397,0.0024599521,0.080251,0.31137958
type_CASH_OUT,0.016186673,0.030818963,0.08805888,0.089839675
type_DEBIT,0.0019934725,0.0016746887,0.026052587,0.0045474228
type_PAYMENT,0.123359695,0.11670663,0.27119085,0.6005962
type_TRANSFER,0.007906004,0.02542979,0.060310815,0.0862022
